year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,7,WN,Southwest Airlines Co.,AMA,"Amarillo, TX: Rick Husband Amarillo International",202.0,67.0,18.45,0.0,8.98,0.0,39.57,0.0,0.0,3129.0,857.0,0.0,370.0,0.0,1902.0
2023,7,WN,Southwest Airlines Co.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3232.0,967.0,271.85,27.96,176.22,2.97,488.01,26.0,11.0,60787.0,14430.0,2361.0,10239.0,97.0,33660.0
2023,7,WN,Southwest Airlines Co.,AUS,"Austin, TX: Austin - Bergstrom International",3118.0,838.0,258.05,19.82,101.49,1.95,456.69,9.0,0.0,43123.0,12967.0,1493.0,3748.0,53.0,24862.0
2023,7,WN,Southwest Airlines Co.,BDL,"Hartford, CT: Bradley International",330.0,136.0,40.46,3.25,20.14,0.0,72.16,3.0,2.0,8257.0,2265.0,217.0,993.0,0.0,4782.0
2023,7,WN,Southwest Airlines Co.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",344.0,138.0,44.83,5.97,17.15,0.0,70.05,1.0,2.0,8587.0,2668.0,374.0,871.0,0.0,4674.0
2023,7,WN,Southwest Airlines Co.,BLI,"Bellingham, WA: Bellingham International",88.0,43.0,10.97,0.0,2.58,0.0,29.45,0.0,0.0,2192.0,402.0,0.0,141.0,0.0,1649.0
2023,7,WN,Southwest Airlines Co.,BNA,"Nashville, TN: Nashville International",4177.0,1136.0,293.85,37.93,174.54,6.81,622.88,29.0,9.0,68491.0,16615.0,3395.0,8468.0,307.0,39706.0
2023,7,WN,Southwest Airlines Co.,BOI,"Boise, ID: Boise Air Terminal",370.0,124.0,42.95,0.0,10.85,0.0,70.2,2.0,3.0,5039.0,1689.0,0.0,310.0,0.0,3040.0
2023,7,WN,Southwest Airlines Co.,BOS,"Boston, MA: Logan International",590.0,237.0,67.92,6.07,77.56,2.06,83.39,19.0,4.0,17218.0,3771.0,678.0,6590.0,36.0,6143.0
2023,7,WN,Southwest Airlines Co.,BUF,"Buffalo, NY: Buffalo Niagara International",357.0,152.0,64.11,7.32,21.53,0.0,59.03,7.0,2.0,9462.0,3069.0,922.0,1497.0,0.0,3974.0
2023,7,WN,Southwest Airlines Co.,BUR,"Burbank, CA: Bob Hope",1824.0,425.0,125.67,1.18,33.21,0.54,264.41,15.0,2.0,20523.0,6116.0,49.0,1292.0,19.0,13047.0
2023,7,WN,Southwest Airlines Co.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",6287.0,1916.0,407.9,70.98,474.28,6.52,956.33,79.0,39.0,127795.0,25655.0,6065.0,30220.0,773.0,65082.0
2023,7,WN,Southwest Airlines Co.,BZN,"Bozeman, MT: Bozeman Yellowstone International",171.0,71.0,28.65,0.0,3.66,0.0,38.69,0.0,0.0,3781.0,1212.0,0.0,91.0,0.0,2478.0
2023,7,WN,Southwest Airlines Co.,CHS,"Charleston, SC: Charleston AFB/International",338.0,114.0,32.48,4.15,23.41,0.0,53.95,1.0,1.0,6558.0,1537.0,451.0,1060.0,0.0,3510.0
